Customer ID,Total Spending,Purchase Frequency,Cluster,Segment
CUST0001,1164.92,11,0,Frequent Buyers
CUST0002,1687.2,19,3,High Spenders
CUST0003,1116.81,7,2,Occasional Buyers
CUST0004,1289.71,12,0,Frequent Buyers
CUST0005,510.97,4,1,Low Spenders
CUST0006,1184.63,9,2,Occasional Buyers
CUST0007,350.66,5,1,Low Spenders
CUST0008,494.4,8,1,Low Spenders
CUST0009,639.0,9,2,Occasional Buyers
CUST0010,983.5,9,2,Occasional Buyers
CUST0011,1048.68,11,2,Occasional Buyers
CUST0012,746.54,8,2,Occasional Buyers
CUST0013,446.52,4,1,Low Spenders
CUST0014,638.69,8,1,Low Spenders
CUST0015,1036.3,9,2,Occasional Buyers
CUST0016,1062.55,10,2,Occasional Buyers
CUST0017,1393.39,13,0,Frequent Buyers
CUST0018,711.93,6,1,Low Spenders
CUST0019,1529.6100000000001,11,0,Frequent Buyers
CUST0020,550.9,7,1,Low Spenders
CUST0021,978.81,11,2,Occasional Buyers
CUST0022,691.05,8,1,Low Spenders
CUST0023,390.01,4,1,Low Spenders
CUST0024,1111.76,10,2,Occasional Buyers
CUST0025,1380.53,11,0,Frequent Buyers
CUST0026,1235.82,12,0,Frequent Buyers
CUST0027,999.03,7,2,Occasional Buyers
CUST0028,643.4200000000001,7,1,Low Spenders
CUST0029,899.99,9,2,Occasional Buyers
CUST0030,678.28,8,1,Low Spenders
CUST0031,1605.07,13,0,Frequent Buyers
CUST0032,1470.1100000000001,9,0,Frequent Buyers
CUST0033,1707.94,14,3,High Spenders
CUST0034,1050.04,10,2,Occasional Buyers
CUST0035,1025.9299999999998,11,2,Occasional Buyers
CUST0036,1241.92,10,0,Frequent Buyers
CUST0037,1138.47,12,0,Frequent Buyers
CUST0038,918.4100000000001,8,2,Occasional Buyers
CUST0039,964.67,9,2,Occasional Buyers
CUST0040,1166.21,13,0,Frequent Buyers
CUST0041,768.75,7,1,Low Spenders
CUST0042,1053.65,9,2,Occasional Buyers
CUST0043,546.46,6,1,Low Spenders
CUST0044,1320.78,10,0,Frequent Buyers
CUST0045,2035.95,16,3,High Spenders
CUST0046,1449.74,14,0,Frequent Buyers
CUST0047,547.55,7,1,Low Spenders
CUST0048,1560.31,13,0,Frequent Buyers
CUST0049,922.86,11,2,Occasional Buyers
CUST0050,441.91,7,1,Low Spenders
CUST0051,1120.28,12,0,Frequent Buyers
CUST0052,871.73,8,2,Occasional Buyers
CUST0053,1060.18,12,0,Frequent Buyers
CUST0054,835.79,9,2,Occasional Buyers
CUST0055,1012.4399999999999,10,2,Occasional Buyers
CUST0056,1275.15,12,0,Frequent Buyers
CUST0057,451.96,5,1,Low Spenders
CUST0058,752.1800000000001,8,2,Occasional Buyers
CUST0059,1142.98,10,2,Occasional Buyers
CUST0060,1288.16,10,0,Frequent Buyers
CUST0061,1291.72,11,0,Frequent Buyers
CUST0062,751.8199999999999,7,1,Low Spenders
CUST0063,786.44,6,1,Low Spenders
CUST0064,643.1999999999999,7,1,Low Spenders
CUST0065,1160.14,10,2,Occasional Buyers
CUST0066,679.38,7,1,Low Spenders
CUST0067,898.23,8,2,Occasional Buyers
CUST0068,1467.6,12,0,Frequent Buyers
CUST0069,594.48,8,1,Low Spenders
CUST0070,1463.32,13,0,Frequent Buyers
CUST0071,1054.95,10,2,Occasional Buyers
CUST0072,626.43,5,1,Low Spenders
CUST0073,1509.96,12,0,Frequent Buyers
CUST0074,425.84999999999997,4,1,Low Spenders
CUST0075,1123.21,13,0,Frequent Buyers
CUST0076,785.43,9,2,Occasional Buyers
CUST0077,834.25,7,1,Low Spenders
CUST0078,1224.18,12,0,Frequent Buyers
CUST0079,522.39,9,1,Low Spenders
CUST0080,1515.98,13,0,Frequent Buyers
CUST0081,877.24,9,2,Occasional Buyers
CUST0082,1102.42,9,2,Occasional Buyers
CUST0083,1331.11,12,0,Frequent Buyers
CUST0084,994.66,11,2,Occasional Buyers
CUST0085,328.77,4,1,Low Spenders
CUST0086,701.21,7,1,Low Spenders
CUST0087,1473.54,11,0,Frequent Buyers
CUST0088,1572.15,12,0,Frequent Buyers
CUST0089,998.18,9,2,Occasional Buyers
CUST0090,1045.96,9,2,Occasional Buyers
CUST0091,705.3299999999999,8,1,Low Spenders
CUST0092,1535.96,11,0,Frequent Buyers
CUST0093,366.39,4,1,Low Spenders
CUST0094,741.45,7,1,Low Spenders
CUST0095,889.47,7,2,Occasional Buyers
CUST0096,1695.11,17,3,High Spenders
CUST0097,589.45,6,1,Low Spenders
CUST0098,1300.0,13,0,Frequent Buyers
CUST0099,590.86,5,1,Low Spenders
CUST0100,1212.17,13,0,Frequent Buyers
CUST0101,657.69,9,2,Occasional Buyers
CUST0102,1796.57,16,3,High Spenders
CUST0103,1605.44,15,3,High Spenders
CUST0104,837.4100000000001,6,1,Low Spenders
CUST0105,954.55,9,2,Occasional Buyers
CUST0106,854.5899999999999,7,2,Occasional Buyers
CUST0107,747.16,7,1,Low Spenders
CUST0108,595.85,8,1,Low Spenders
CUST0109,1666.77,15,3,High Spenders
CUST0110,642.15,5,1,Low Spenders
CUST0111,625.4399999999999,6,1,Low Spenders
CUST0112,1815.0,14,3,High Spenders
CUST0113,1324.02,12,0,Frequent Buyers
CUST0114,1523.51,14,3,High Spenders
CUST0115,869.64,11,2,Occasional Buyers
CUST0116,743.62,7,1,Low Spenders
CUST0117,1135.52,9,2,Occasional Buyers
CUST0118,1269.75,13,0,Frequent Buyers
CUST0119,1180.28,9,2,Occasional Buyers
CUST0120,1245.06,12,0,Frequent Buyers
CUST0121,1239.17,11,0,Frequent Buyers
CUST0122,1348.58,13,0,Frequent Buyers
CUST0123,1084.52,10,2,Occasional Buyers
CUST0124,1160.8899999999999,10,2,Occasional Buyers
CUST0125,1234.04,13,0,Frequent Buyers
CUST0126,1806.43,17,3,High Spenders
CUST0127,386.12,3,1,Low Spenders
CUST0128,683.8299999999999,6,1,Low Spenders
CUST0129,953.59,9,2,Occasional Buyers
CUST0130,968.99,9,2,Occasional Buyers
CUST0131,1361.63,11,0,Frequent Buyers
CUST0132,383.53999999999996,3,1,Low Spenders
CUST0133,1134.48,9,2,Occasional Buyers
CUST0134,1053.14,11,2,Occasional Buyers
CUST0135,1424.95,14,0,Frequent Buyers
CUST0136,566.39,7,1,Low Spenders
CUST0137,1337.71,10,0,Frequent Buyers
CUST0138,1016.34,12,0,Frequent Buyers
CUST0139,997.4499999999999,8,2,Occasional Buyers
CUST0140,291.78,3,1,Low Spenders
CUST0141,464.63,4,1,Low Spenders
CUST0142,1445.1999999999998,13,0,Frequent Buyers
CUST0143,744.12,8,2,Occasional Buyers
CUST0144,639.04,9,2,Occasional Buyers
CUST0145,1210.92,10,2,Occasional Buyers
CUST0146,1431.4099999999999,12,0,Frequent Buyers
CUST0147,1213.16,10,2,Occasional Buyers
CUST0148,1469.43,14,0,Frequent Buyers
CUST0149,865.5,8,2,Occasional Buyers
CUST0150,1426.8,14,0,Frequent Buyers
CUST0151,656.15,6,1,Low Spenders
CUST0152,1211.21,10,2,Occasional Buyers
CUST0153,694.63,5,1,Low Spenders
CUST0154,1012.4599999999999,9,2,Occasional Buyers
CUST0155,1104.79,10,2,Occasional Buyers
CUST0156,777.1899999999999,8,2,Occasional Buyers
CUST0157,955.38,10,2,Occasional Buyers
CUST0158,1112.43,10,2,Occasional Buyers
CUST0159,699.35,6,1,Low Spenders
CUST0160,307.09000000000003,5,1,Low Spenders
CUST0161,864.0699999999999,9,2,Occasional Buyers
CUST0162,965.9000000000001,9,2,Occasional Buyers
CUST0163,856.18,9,2,Occasional Buyers
CUST0164,431.25,6,1,Low Spenders
CUST0165,1388.69,12,0,Frequent Buyers
CUST0166,1783.54,14,3,High Spenders
CUST0167,411.53999999999996,7,1,Low Spenders
CUST0168,1372.8,12,0,Frequent Buyers
CUST0169,1463.57,12,0,Frequent Buyers
CUST0170,1592.54,14,3,High Spenders
CUST0171,900.0699999999999,11,2,Occasional Buyers
CUST0172,1262.05,11,0,Frequent Buyers
CUST0173,562.27,8,1,Low Spenders
CUST0174,499.44,5,1,Low Spenders
CUST0175,702.8199999999999,9,2,Occasional Buyers
CUST0176,502.3,5,1,Low Spenders
CUST0177,931.39,11,2,Occasional Buyers
CUST0178,1262.18,11,0,Frequent Buyers
CUST0179,1083.1599999999999,9,2,Occasional Buyers
CUST0180,1107.69,12,0,Frequent Buyers
CUST0181,875.8499999999999,8,2,Occasional Buyers
CUST0182,1138.87,11,0,Frequent Buyers
CUST0183,619.77,7,1,Low Spenders
CUST0184,708.25,7,1,Low Spenders
CUST0185,1185.71,8,2,Occasional Buyers
CUST0186,442.54,6,1,Low Spenders
CUST0187,1335.2,14,0,Frequent Buyers
CUST0188,1350.32,13,0,Frequent Buyers
CUST0189,1673.49,17,3,High Spenders
CUST0190,1288.88,11,0,Frequent Buyers
CUST0191,702.47,6,1,Low Spenders
CUST0192,445.94,6,1,Low Spenders
CUST0193,1109.19,10,2,Occasional Buyers
CUST0194,846.28,12,2,Occasional Buyers
CUST0195,1773.27,17,3,High Spenders
CUST0196,1234.51,11,0,Frequent Buyers
CUST0197,1586.2,11,0,Frequent Buyers
CUST0198,518.24,5,1,Low Spenders
CUST0199,902.13,10,2,Occasional Buyers
CUST0200,839.65,8,2,Occasional Buyers
CUST0201,1626.06,17,3,High Spenders
CUST0202,1058.3,10,2,Occasional Buyers
CUST0203,1326.57,14,0,Frequent Buyers
CUST0204,937.13,8,2,Occasional Buyers
CUST0205,1687.89,13,3,High Spenders
CUST0206,888.95,9,2,Occasional Buyers
CUST0207,425.44,5,1,Low Spenders
CUST0208,1552.91,14,3,High Spenders
CUST0209,1829.37,16,3,High Spenders
CUST0210,2272.48,19,3,High Spenders
CUST0211,1611.36,17,3,High Spenders
CUST0212,1321.76,12,0,Frequent Buyers
CUST0213,1056.98,10,2,Occasional Buyers
CUST0214,1488.41,12,0,Frequent Buyers
CUST0215,1328.35,13,0,Frequent Buyers
CUST0216,1257.5900000000001,15,0,Frequent Buyers
CUST0217,774.68,10,2,Occasional Buyers
CUST0218,557.31,9,1,Low Spenders
CUST0219,1524.19,15,3,High Spenders
CUST0220,765.74,7,1,Low Spenders
CUST0221,1149.94,13,0,Frequent Buyers
CUST0222,623.05,7,1,Low Spenders
CUST0223,1059.1599999999999,10,2,Occasional Buyers
CUST0224,1296.9,9,2,Occasional Buyers
CUST0225,783.28,8,2,Occasional Buyers
CUST0226,787.25,11,2,Occasional Buyers
CUST0227,973.8399999999999,9,2,Occasional Buyers
CUST0228,1868.43,18,3,High Spenders
CUST0229,872.8100000000001,8,2,Occasional Buyers
CUST0230,577.9300000000001,7,1,Low Spenders
CUST0231,652.65,6,1,Low Spenders
CUST0232,1024.74,12,0,Frequent Buyers
CUST0233,934.14,11,2,Occasional Buyers
CUST0234,1125.57,12,0,Frequent Buyers
CUST0235,837.02,10,2,Occasional Buyers
CUST0236,655.1999999999999,6,1,Low Spenders
CUST0237,1540.6399999999999,11,0,Frequent Buyers
CUST0238,2358.69,19,3,High Spenders
CUST0239,1666.73,15,3,High Spenders
CUST0240,769.05,8,2,Occasional Buyers
CUST0241,895.26,9,2,Occasional Buyers
CUST0242,815.06,10,2,Occasional Buyers
CUST0243,1257.73,10,0,Frequent Buyers
CUST0244,1756.98,15,3,High Spenders
CUST0245,1330.6100000000001,12,0,Frequent Buyers
CUST0246,1302.8600000000001,13,0,Frequent Buyers
CUST0247,740.1800000000001,9,2,Occasional Buyers
CUST0248,1205.9,12,0,Frequent Buyers
CUST0249,1000.77,10,2,Occasional Buyers
CUST0250,682.09,8,1,Low Spenders
CUST0251,1097.2,9,2,Occasional Buyers
CUST0252,925.35,8,2,Occasional Buyers
CUST0253,1263.87,8,2,Occasional Buyers
CUST0254,521.0799999999999,4,1,Low Spenders
CUST0255,1151.1100000000001,12,0,Frequent Buyers
CUST0256,1017.39,10,2,Occasional Buyers
CUST0257,670.38,9,2,Occasional Buyers
CUST0258,1616.75,15,3,High Spenders
CUST0259,949.54,9,2,Occasional Buyers
CUST0260,1637.38,16,3,High Spenders
CUST0261,463.13,5,1,Low Spenders
CUST0262,1079.44,10,2,Occasional Buyers
CUST0263,538.08,6,1,Low Spenders
CUST0264,1383.47,12,0,Frequent Buyers
CUST0265,1031.04,11,2,Occasional Buyers
CUST0266,1478.72,14,0,Frequent Buyers
CUST0267,907.6700000000001,13,0,Frequent Buyers
CUST0268,469.5,6,1,Low Spenders
CUST0269,971.89,9,2,Occasional Buyers
CUST0270,1247.96,11,0,Frequent Buyers
CUST0271,1098.89,9,2,Occasional Buyers
CUST0272,633.35,6,1,Low Spenders
CUST0273,1145.04,12,0,Frequent Buyers
CUST0274,1441.0,12,0,Frequent Buyers
CUST0275,945.71,10,2,Occasional Buyers
CUST0276,687.95,6,1,Low Spenders
CUST0277,1737.31,16,3,High Spenders
CUST0278,517.93,5,1,Low Spenders
CUST0279,410.24,6,1,Low Spenders
CUST0280,1234.04,12,0,Frequent Buyers
CUST0281,1311.58,14,0,Frequent Buyers
CUST0282,1028.82,12,0,Frequent Buyers
CUST0283,1459.12,12,0,Frequent Buyers
CUST0284,1283.9199999999998,10,0,Frequent Buyers
CUST0285,1021.38,9,2,Occasional Buyers
CUST0286,1654.46,13,3,High Spenders
CUST0287,1006.08,9,2,Occasional Buyers
CUST0288,1767.85,15,3,High Spenders
CUST0289,1469.77,14,0,Frequent Buyers
CUST0290,1129.85,13,0,Frequent Buyers
CUST0291,658.42,9,2,Occasional Buyers
CUST0292,1407.94,10,0,Frequent Buyers
CUST0293,554.74,6,1,Low Spenders
CUST0294,1137.91,13,0,Frequent Buyers
CUST0295,1012.49,10,2,Occasional Buyers
CUST0296,1076.19,13,0,Frequent Buyers
CUST0297,522.94,6,1,Low Spenders
CUST0298,682.49,6,1,Low Spenders
CUST0299,487.5,6,1,Low Spenders
CUST0300,671.44,13,2,Occasional Buyers
CUST0301,1367.67,12,0,Frequent Buyers
CUST0302,768.66,8,2,Occasional Buyers
CUST0303,1164.83,12,0,Frequent Buyers
CUST0304,917.9,10,2,Occasional Buyers
CUST0305,608.83,7,1,Low Spenders
CUST0306,982.33,11,2,Occasional Buyers
CUST0307,1153.29,11,0,Frequent Buyers
CUST0308,513.72,6,1,Low Spenders
CUST0309,1281.12,13,0,Frequent Buyers
CUST0310,987.47,10,2,Occasional Buyers
CUST0311,722.19,9,2,Occasional Buyers
CUST0312,1162.19,12,0,Frequent Buyers
CUST0313,846.52,7,2,Occasional Buyers
CUST0314,1478.43,12,0,Frequent Buyers
CUST0315,2090.89,17,3,High Spenders
CUST0316,1066.13,11,2,Occasional Buyers
CUST0317,1077.61,9,2,Occasional Buyers
CUST0318,614.8199999999999,8,1,Low Spenders
CUST0319,816.81,10,2,Occasional Buyers
CUST0320,680.42,7,1,Low Spenders
CUST0321,742.03,9,2,Occasional Buyers
CUST0322,545.81,8,1,Low Spenders
CUST0323,791.19,7,1,Low Spenders
CUST0324,1136.75,11,0,Frequent Buyers
CUST0325,1590.45,13,0,Frequent Buyers
CUST0326,1569.45,14,3,High Spenders
CUST0327,881.14,11,2,Occasional Buyers
CUST0328,915.22,8,2,Occasional Buyers
CUST0329,1710.05,16,3,High Spenders
CUST0330,807.04,8,2,Occasional Buyers
CUST0331,857.24,9,2,Occasional Buyers
CUST0332,1463.3400000000001,13,0,Frequent Buyers
CUST0333,929.5,9,2,Occasional Buyers
CUST0334,693.05,6,1,Low Spenders
CUST0335,1222.78,11,0,Frequent Buyers
CUST0336,1358.47,11,0,Frequent Buyers
CUST0337,1579.19,15,3,High Spenders
CUST0338,1240.76,10,0,Frequent Buyers
CUST0339,1105.12,12,0,Frequent Buyers
CUST0340,799.63,9,2,Occasional Buyers
CUST0341,417.87,4,1,Low Spenders
CUST0342,1233.1100000000001,14,0,Frequent Buyers
CUST0343,1261.89,11,0,Frequent Buyers
CUST0344,1100.35,9,2,Occasional Buyers
CUST0345,1058.91,13,0,Frequent Buyers
CUST0346,1434.23,12,0,Frequent Buyers
CUST0347,1066.52,13,0,Frequent Buyers
CUST0348,885.47,10,2,Occasional Buyers
CUST0349,677.1899999999999,9,2,Occasional Buyers
CUST0350,1592.19,14,3,High Spenders
CUST0351,777.59,8,2,Occasional Buyers
CUST0352,733.76,6,1,Low Spenders
CUST0353,1409.51,11,0,Frequent Buyers
CUST0354,1058.76,13,0,Frequent Buyers
CUST0355,953.12,9,2,Occasional Buyers
CUST0356,1063.8,10,2,Occasional Buyers
CUST0357,1663.46,16,3,High Spenders
CUST0358,1380.97,14,0,Frequent Buyers
CUST0359,1497.84,15,3,High Spenders
CUST0360,869.63,7,2,Occasional Buyers
CUST0361,1562.61,15,3,High Spenders
CUST0362,1022.0,10,2,Occasional Buyers
CUST0363,1130.46,10,2,Occasional Buyers
CUST0364,862.54,7,2,Occasional Buyers
CUST0365,1490.58,14,0,Frequent Buyers
CUST0366,1206.73,10,2,Occasional Buyers
CUST0367,690.87,6,1,Low Spenders
CUST0368,981.9300000000001,6,2,Occasional Buyers
CUST0369,1505.64,15,3,High Spenders
CUST0370,1088.68,10,2,Occasional Buyers
CUST0371,1406.46,13,0,Frequent Buyers
CUST0372,1136.75,10,2,Occasional Buyers
CUST0373,956.0999999999999,11,2,Occasional Buyers
CUST0374,829.91,7,1,Low Spenders
CUST0375,1379.3799999999999,14,0,Frequent Buyers
CUST0376,906.37,9,2,Occasional Buyers
CUST0377,1077.47,13,0,Frequent Buyers
CUST0378,776.52,6,1,Low Spenders
CUST0379,753.4,5,1,Low Spenders
CUST0380,918.19,10,2,Occasional Buyers
CUST0381,808.31,8,2,Occasional Buyers
CUST0382,1260.98,12,0,Frequent Buyers
CUST0383,697.85,7,1,Low Spenders
CUST0384,1513.46,12,0,Frequent Buyers
CUST0385,1175.26,11,0,Frequent Buyers
CUST0386,1035.32,10,2,Occasional Buyers
CUST0387,1079.74,10,2,Occasional Buyers
CUST0388,1603.24,13,0,Frequent Buyers
CUST0389,1286.0900000000001,12,0,Frequent Buyers
CUST0390,1028.1100000000001,8,2,Occasional Buyers
CUST0391,655.7,8,1,Low Spenders
CUST0392,1281.91,12,0,Frequent Buyers
CUST0393,1782.46,17,3,High Spenders
CUST0394,1078.71,8,2,Occasional Buyers
CUST0395,1132.85,9,2,Occasional Buyers
CUST0396,1142.25,10,2,Occasional Buyers
CUST0397,1366.5900000000001,12,0,Frequent Buyers
CUST0398,754.59,8,2,Occasional Buyers
CUST0399,469.28000000000003,5,1,Low Spenders
CUST0400,2097.88,21,3,High Spenders
CUST0401,1164.72,9,2,Occasional Buyers
CUST0402,1290.06,14,0,Frequent Buyers
CUST0403,937.49,9,2,Occasional Buyers
CUST0404,659.32,8,1,Low Spenders
CUST0405,751.85,7,1,Low Spenders
CUST0406,1300.02,11,0,Frequent Buyers
CUST0407,1027.56,8,2,Occasional Buyers
CUST0408,980.1800000000001,8,2,Occasional Buyers
CUST0409,805.25,8,2,Occasional Buyers
CUST0410,979.22,10,2,Occasional Buyers
CUST0411,994.9,12,0,Frequent Buyers
CUST0412,1192.35,11,0,Frequent Buyers
CUST0413,1168.23,11,0,Frequent Buyers
CUST0414,669.14,6,1,Low Spenders
CUST0415,1549.37,13,0,Frequent Buyers
CUST0416,1178.92,12,0,Frequent Buyers
CUST0417,1545.1299999999999,14,3,High Spenders
CUST0418,1124.54,9,2,Occasional Buyers
CUST0419,786.37,6,1,Low Spenders
CUST0420,557.63,7,1,Low Spenders
CUST0421,791.53,8,2,Occasional Buyers
CUST0422,950.91,10,2,Occasional Buyers
CUST0423,1088.93,8,2,Occasional Buyers
CUST0424,1441.28,12,0,Frequent Buyers
CUST0425,1454.31,12,0,Frequent Buyers
CUST0426,753.72,9,2,Occasional Buyers
CUST0427,749.2,6,1,Low Spenders
CUST0428,1268.74,14,0,Frequent Buyers
CUST0429,1162.19,12,0,Frequent Buyers
CUST0430,1403.51,15,3,High Spenders
CUST0431,819.47,9,2,Occasional Buyers
CUST0432,1926.93,14,3,High Spenders
CUST0433,1003.8299999999999,8,2,Occasional Buyers
CUST0434,922.57,7,2,Occasional Buyers
CUST0435,741.1700000000001,6,1,Low Spenders
CUST0436,885.11,9,2,Occasional Buyers
CUST0437,944.69,8,2,Occasional Buyers
CUST0438,179.56,2,1,Low Spenders
CUST0439,743.05,5,1,Low Spenders
CUST0440,1073.3799999999999,9,2,Occasional Buyers
CUST0441,296.99,5,1,Low Spenders
CUST0442,633.51,7,1,Low Spenders
CUST0443,1229.56,11,0,Frequent Buyers
CUST0444,1291.55,12,0,Frequent Buyers
CUST0445,1131.69,10,2,Occasional Buyers
CUST0446,315.09,6,1,Low Spenders
CUST0447,823.83,8,2,Occasional Buyers
CUST0448,869.69,9,2,Occasional Buyers
CUST0449,1096.3,13,0,Frequent Buyers
CUST0450,1512.04,13,0,Frequent Buyers
CUST0451,1372.45,11,0,Frequent Buyers
CUST0452,431.9,5,1,Low Spenders
CUST0453,744.79,7,1,Low Spenders
CUST0454,1247.28,10,0,Frequent Buyers
CUST0455,950.1,11,2,Occasional Buyers
CUST0456,1237.6000000000001,12,0,Frequent Buyers
CUST0457,1135.99,10,2,Occasional Buyers
CUST0458,1269.44,14,0,Frequent Buyers
CUST0459,690.5,6,1,Low Spenders
CUST0460,1061.9,9,2,Occasional Buyers
CUST0461,800.27,10,2,Occasional Buyers
CUST0462,1021.88,9,2,Occasional Buyers
CUST0463,225.3,4,1,Low Spenders
CUST0464,15.43,1,1,Low Spenders
CUST0465,459.12,5,1,Low Spenders
CUST0466,1116.23,9,2,Occasional Buyers
CUST0467,795.4,9,2,Occasional Buyers
CUST0468,1085.74,9,2,Occasional Buyers
CUST0469,1242.51,11,0,Frequent Buyers
CUST0470,947.72,14,0,Frequent Buyers
CUST0471,1236.02,13,0,Frequent Buyers
CUST0472,957.51,11,2,Occasional Buyers
CUST0473,1157.3600000000001,11,0,Frequent Buyers
CUST0474,1011.65,10,2,Occasional Buyers
CUST0475,1521.17,14,3,High Spenders
CUST0476,1940.74,16,3,High Spenders
CUST0477,428.46999999999997,5,1,Low Spenders
CUST0478,1186.9,12,0,Frequent Buyers
CUST0479,1308.94,11,0,Frequent Buyers
CUST0480,1078.17,9,2,Occasional Buyers
CUST0481,977.3,8,2,Occasional Buyers
CUST0482,1085.02,11,2,Occasional Buyers
CUST0483,1064.26,11,2,Occasional Buyers
CUST0484,560.47,6,1,Low Spenders
CUST0485,1074.26,10,2,Occasional Buyers
CUST0486,1071.83,11,2,Occasional Buyers
CUST0487,1439.8600000000001,14,0,Frequent Buyers
CUST0488,780.25,8,2,Occasional Buyers
CUST0489,1660.0,12,0,Frequent Buyers
CUST0490,1831.25,16,3,High Spenders
CUST0491,1677.3999999999999,16,3,High Spenders
CUST0492,298.06,5,1,Low Spenders
CUST0493,902.9,11,2,Occasional Buyers
CUST0494,822.65,10,2,Occasional Buyers
CUST0495,1556.52,14,3,High Spenders
CUST0496,1455.14,14,0,Frequent Buyers
CUST0497,1078.09,10,2,Occasional Buyers
CUST0498,1038.3600000000001,9,2,Occasional Buyers
CUST0499,1741.88,16,3,High Spenders
CUST0500,1027.96,12,0,Frequent Buyers
